,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,32196,Hyperliquid,HYPE,hyperliquid,143,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing']",1000000000.0,333928180.0,999993930.0,False,,11,333931719.0,15824369374.219378,,2025-09-05T13:36:00.000Z,47.388039152457324,231455963.70309734,9.4864,1.24935379,3.59017935,4.99360738,25.40067754,19.63682096,37.89869043,15824201667.948816,0.407,47388039152.46,,2025-09-05T13:36:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-09-05 09:38:27.727252
11,1975,Chainlink,LINK,chainlink,2081,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'interoperability', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cross-chain', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets-protocols', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'robotics']",1000000000.0,678099970.4527867,1000000000.0,False,,12,,,,2025-09-05T13:37:00.000Z,23.051752343541917,1255811535.2617033,59.0284,0.24469918,-1.02232021,-1.92201246,40.92510482,69.98431414,64.13941379,15631392583.04073,0.4016,23051752343.54,,2025-09-05T13:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-09-05 09:38:27.727252
12,29470,Ethena USDe,USDe,ethena-usde,205,2024-02-20T11:05:01.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-labs-portfolio', 'dragonfly-capital-portfolio', 'usd-stablecoin', 'eigenlayer-ecosystem', 'binance-ecosystem', 'xlayer-ecosystem']",,12630478909.146597,12630478909.146597,True,,13,,,,2025-09-05T13:37:00.000Z,1.0011441591773982,204688896.5753925,10.976,0.0406126,0.01530659,0.07047309,0.04367578,0.11902223,-0.02030665,12644930187.505432,0.3249,12644930187.51,,2025-09-05T13:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,2025-09-05 09:38:27.727252
13,20947,Sui,SUI,sui,765,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",10000000000.0,3568833706.3227763,10000000000.0,False,,14,3568833706.32,12286063123.04369,,2025-09-05T13:37:00.000Z,3.442598936814137,895186796.8012699,26.2676,0.77635355,4.02712406,3.05321639,1.07343765,19.0931166,4.32229313,12286063123.053247,0.3156,34425989368.14,,2025-09-05T13:37:00.000Z,,,,,,2025-09-05 09:38:27.727252
14,1831,Bitcoin Cash,BCH,bitcoin-cash,1058,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19921290.625,19921290.625,False,,15,,,,2025-09-05T13:36:00.000Z,612.0619651562151,682172068.071104,17.2538,1.05438246,3.84324075,14.21956406,9.3669933,23.48279038,50.39426515,12193064288.385586,0.3136,12853301268.28,,2025-09-05T13:36:00.000Z,,,,,,2025-09-05 09:38:27.727252
0,1,Bitcoin,BTC,bitcoin,12332,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19916515.0,19916515.0,False,,1,,,,2025-09-05T13:38:00.000Z,112942.38973759883,52758657354.42151,-8.1032,0.268219,2.01360234,2.61676627,-0.74769875,4.34638946,6.89458594,2249418799344.7334,57.7891,2371790184489.58,,2025-09-05T13:38:00.000Z,,,,,,2025-09-05 09:39:27.938774
1,1027,Ethereum,ETH,ethereum,10512,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,120705220.18652423,120705220.18652423,True,,2,,,,2025-09-05T13:37:00.000Z,4457.670712266294,40606877467.982216,6.4807,0.41622709,1.37851916,2.06044629,24.26479594,74.5037757,77.81463775,538064124843.1233,13.8232,538064124843.12,,2025-09-05T13:37:00.000Z,,,,,,2025-09-05 09:39:27.938774
2,52,XRP,XRP,xrp,1695,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59482264023.0,99985819185.0,False,,3,,,,2025-09-05T13:38:00.000Z,2.871394855971351,5850727801.289286,32.4273,0.10278358,1.1013096,0.11480888,-2.54280222,25.51169579,31.11827883,170797066937.17197,4.3879,287139485597.14,,2025-09-05T13:38:00.000Z,,,,,,2025-09-05 09:39:27.938774
3,825,Tether USDt,USDT,tether,145449,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,168540494840.97333,174732955017.0078,True,,4,,,,2025-09-05T13:37:00.000Z,1.000306552414815,118988564953.22826,14.2066,0.0216694,0.01275112,0.03378174,0.04923444,0.02545799,-0.02887649,168592161336.66092,4.331,174786519826.32,,2025-09-05T13:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-09-05 09:39:27.938774
4,1839,BNB,BNB,bnb,2700,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing']",,139187579.78,139187579.78,False,,5,,,,2025-09-05T13:38:00.000Z,857.1799393989138,1922030733.6571112,-3.5559,0.49632558,0.96081387,-0.45739598,12.75907963,29.58787325,31.751208,119308801200.90189,3.0649,119308801200.9,,2025-09-05T13:38:00.000Z,,,,,,2025-09-05 09:39:27.938774
